epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.1102,0.56226,1.38192,0.87561,0.94988,0.07799,0.69589,0.62825,0.39394,2.45495,0.77926,0.000656863,0.000656863,0.000656863
2,71.6466,0.51555,0.70757,0.85207,0.95819,0.94318,0.95896,0.85669,0.41858,0.76033,0.79343,0.00130169,0.00130169,0.00130169
3,107.227,0.50384,0.58313,0.86025,0.96263,0.95393,0.95223,0.87011,0.39922,0.61265,0.79612,0.00192452,0.00192452,0.00192452
4,143.068,0.48892,0.52604,0.85002,0.97848,0.93572,0.95474,0.87001,0.38243,0.53852,0.78749,0.001901,0.001901,0.001901
5,178.863,0.4565,0.46004,0.84475,0.97932,0.94239,0.95971,0.86318,0.385,0.58895,0.78896,0.001868,0.001868,0.001868
6,214.997,0.45148,0.42865,0.84011,0.92095,0.9465,0.93245,0.83189,0.35792,0.66199,0.78405,0.001835,0.001835,0.001835
7,250.899,0.44217,0.38511,0.83968,0.97455,0.9455,0.96305,0.89061,0.36517,0.40057,0.78422,0.001802,0.001802,0.001802
8,286.264,0.43639,0.36618,0.84246,0.94573,0.93827,0.95363,0.88097,0.35913,0.72268,0.78298,0.001769,0.001769,0.001769
9,322.213,0.4262,0.34913,0.83804,0.97307,0.9465,0.95316,0.86855,0.38245,0.4817,0.79157,0.001736,0.001736,0.001736
10,358.051,0.42145,0.34181,0.83446,0.9431,0.93827,0.95242,0.88456,0.32864,0.48183,0.77645,0.001703,0.001703,0.001703
11,394.246,0.38341,0.32716,0.82975,0.9586,0.93416,0.94482,0.8792,0.34806,0.50713,0.78208,0.00167,0.00167,0.00167
12,430.161,0.41045,0.33272,0.83537,0.98534,0.93416,0.95718,0.89125,0.32632,0.38745,0.78186,0.001637,0.001637,0.001637
13,466.272,0.39869,0.31695,0.8263,0.95476,0.94239,0.95569,0.89443,0.32448,0.58461,0.77463,0.001604,0.001604,0.001604
14,502.352,0.39727,0.33298,0.83071,0.88869,0.94239,0.87178,0.80848,0.31809,0.48168,0.77145,0.001571,0.001571,0.001571
15,538.85,0.38426,0.31428,0.82751,0.9701,0.93471,0.95371,0.88412,0.31318,0.40442,0.7768,0.001538,0.001538,0.001538
16,574.999,0.39961,0.31459,0.82658,0.96336,0.93827,0.95741,0.86828,0.36073,0.44652,0.78349,0.001505,0.001505,0.001505
17,611.123,0.40092,0.30658,0.82715,0.97056,0.93416,0.95761,0.89867,0.31922,0.39258,0.77668,0.001472,0.001472,0.001472
18,647.207,0.3839,0.29044,0.82532,0.98296,0.94953,0.95706,0.89563,0.3209,0.43131,0.77819,0.001439,0.001439,0.001439
19,682.636,0.37195,0.29,0.82235,0.96918,0.95473,0.95901,0.90004,0.31609,0.35364,0.77447,0.001406,0.001406,0.001406
20,718.232,0.36799,0.28588,0.82507,0.9663,0.94387,0.95667,0.89605,0.3045,0.44014,0.77114,0.001373,0.001373,0.001373
21,754.104,0.36408,0.27641,0.81315,0.96569,0.95473,0.95374,0.87971,0.32203,0.44735,0.77604,0.00134,0.00134,0.00134
22,789.721,0.36459,0.28448,0.82176,0.95341,0.88889,0.92801,0.86738,0.31572,0.47094,0.7777,0.001307,0.001307,0.001307
23,825.249,0.36253,0.27741,0.81929,0.96244,0.94901,0.953,0.89093,0.31026,0.40664,0.77073,0.001274,0.001274,0.001274
24,860.94,0.35375,0.26606,0.82264,0.95022,0.95473,0.95635,0.90251,0.28341,0.45318,0.76953,0.001241,0.001241,0.001241
25,896.547,0.34974,0.2641,0.82106,0.95321,0.95062,0.95875,0.89847,0.29452,0.45271,0.77038,0.001208,0.001208,0.001208
26,932.185,0.36028,0.26615,0.82283,0.987,0.93697,0.95402,0.91005,0.30876,0.37621,0.7727,0.001175,0.001175,0.001175
27,967.889,0.35242,0.26481,0.82392,0.95437,0.95473,0.95547,0.89817,0.29295,0.38059,0.77129,0.001142,0.001142,0.001142
28,1003.67,0.33848,0.25755,0.81764,0.93848,0.95473,0.95885,0.91435,0.28653,0.43885,0.77064,0.001109,0.001109,0.001109
29,1039.65,0.34689,0.2611,0.82426,0.93841,0.95473,0.95768,0.90197,0.31247,0.44383,0.77358,0.001076,0.001076,0.001076
30,1076.34,0.34254,0.25541,0.81445,0.97024,0.95062,0.95462,0.88532,0.30956,0.39162,0.77259,0.001043,0.001043,0.001043
31,1112.52,0.33461,0.25501,0.82039,0.97056,0.94979,0.95406,0.90362,0.28764,0.35969,0.76996,0.00101,0.00101,0.00101
32,1148.57,0.32916,0.25027,0.81488,0.9525,0.9465,0.95862,0.90985,0.29702,0.44267,0.77248,0.000977,0.000977,0.000977
33,1186.14,0.34583,0.25094,0.82022,0.94483,0.95473,0.95834,0.90187,0.29023,0.41951,0.77008,0.000944,0.000944,0.000944
34,1222.86,0.33405,0.24399,0.81417,0.97097,0.9465,0.96049,0.91807,0.27142,0.38182,0.7667,0.000911,0.000911,0.000911
35,1259.16,0.3214,0.23817,0.81053,0.97948,0.94239,0.96221,0.90653,0.30118,0.32293,0.77341,0.000878,0.000878,0.000878
36,1295.64,0.32581,0.23655,0.81915,0.964,0.95062,0.96309,0.9161,0.27476,0.38412,0.7683,0.000845,0.000845,0.000845
37,1332.06,0.32311,0.23523,0.81608,0.97772,0.94239,0.96074,0.90348,0.27908,0.35287,0.77,0.000812,0.000812,0.000812
38,1368.29,0.3346,0.23991,0.81755,0.95835,0.95062,0.96166,0.90584,0.30816,0.38602,0.77224,0.000779,0.000779,0.000779
39,1404.65,0.323,0.22761,0.815,0.97098,0.9465,0.96162,0.90902,0.29198,0.35852,0.77105,0.000746,0.000746,0.000746
40,1440.9,0.32472,0.23085,0.82006,0.98005,0.9465,0.95824,0.91579,0.28995,0.32164,0.7692,0.000713,0.000713,0.000713
41,1477.2,0.3223,0.22708,0.81521,0.96228,0.95473,0.95359,0.91783,0.26893,0.37441,0.76948,0.00068,0.00068,0.00068
42,1513.57,0.30755,0.21825,0.81236,0.9597,0.9465,0.9532,0.90145,0.2723,0.4415,0.76993,0.000647,0.000647,0.000647
43,1549.81,0.30807,0.22041,0.80768,0.95478,0.9465,0.95278,0.91783,0.26842,0.40393,0.76739,0.000614,0.000614,0.000614
44,1586,0.30477,0.21779,0.80929,0.94742,0.9465,0.95887,0.91607,0.26742,0.45779,0.76969,0.000581,0.000581,0.000581
45,1622.39,0.304,0.21073,0.81377,0.95841,0.94831,0.96015,0.90687,0.28591,0.42539,0.77042,0.000548,0.000548,0.000548
46,1658.81,0.30929,0.2175,0.81362,0.97073,0.94239,0.9537,0.91719,0.26606,0.36426,0.7674,0.000515,0.000515,0.000515
47,1695.2,0.29064,0.20857,0.81027,0.94894,0.9465,0.95861,0.91489,0.26074,0.46152,0.76884,0.000482,0.000482,0.000482
48,1731.46,0.29049,0.20842,0.80542,0.9704,0.94453,0.95946,0.91866,0.27201,0.40111,0.76895,0.000449,0.000449,0.000449
49,1767.69,0.29109,0.205,0.8041,0.9593,0.94239,0.95962,0.91874,0.26998,0.404,0.76776,0.000416,0.000416,0.000416
50,1804.1,0.28848,0.20217,0.80564,0.9788,0.94994,0.95996,0.9187,0.25689,0.34419,0.76549,0.000383,0.000383,0.000383
51,1876.69,0.25026,0.17106,0.78667,0.97623,0.93827,0.9604,0.91317,0.26163,0.33829,0.76769,0.00035,0.00035,0.00035
52,1912.66,0.25215,0.1748,0.78515,0.96605,0.93686,0.96062,0.91492,0.25538,0.4098,0.76726,0.000317,0.000317,0.000317
53,1948.61,0.24413,0.16799,0.78765,0.96515,0.93827,0.95306,0.91872,0.25831,0.37758,0.76721,0.000284,0.000284,0.000284
54,1984.98,0.23593,0.16401,0.78476,0.96736,0.94239,0.96023,0.91824,0.25628,0.40075,0.7658,0.000251,0.000251,0.000251
55,2022.98,0.2372,0.16664,0.78225,0.94939,0.95062,0.95326,0.9172,0.26217,0.41269,0.76922,0.000218,0.000218,0.000218
56,2113.47,0.23626,0.16303,0.78671,0.97144,0.93827,0.95909,0.91873,0.25647,0.4003,0.76656,0.000185,0.000185,0.000185
57,2187.42,0.22659,0.15825,0.77911,0.97707,0.94239,0.95403,0.91796,0.24691,0.34513,0.76519,0.000152,0.000152,0.000152
58,2259.6,0.22804,0.15609,0.785,0.96186,0.94239,0.9535,0.91813,0.25455,0.39349,0.7665,0.000119,0.000119,0.000119
59,2464.39,0.22386,0.15219,0.78435,0.96533,0.94239,0.9534,0.91828,0.2543,0.38963,0.7669,8.6e-05,8.6e-05,8.6e-05
60,2700.1,0.21756,0.14849,0.77684,0.96973,0.94239,0.95385,0.91807,0.25057,0.36172,0.7658,5.3e-05,5.3e-05,5.3e-05
